gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ACHN_DNMT3AmutP904L_1	ACHN_DNMT3AmutP904L_2	ACHN_DNMT3AmutP904L_3	ACHN_DNMT3Awt_1	ACHN_DNMT3Awt_2	ACHN_DNMT3Awt_3	symbol	description	term	threshold
ENSG00000119772	11210.068	1.661	0.072	23.019	2.9893010079441e-117	3.61316812830203e-113	15319.26	17840.36	17940.32	4785.37	5502.09	5873.02	DNMT3A	DNA	methyltransferase	TRUE
ENSG00000144136	9329.021	-0.381	0.049	-7.81	5.70490095801833e-15	3.44775689397838e-11	8379.39	8020.38	7912.68	10972.89	10125.63	10563.16	SLC20A1	solute	carrier	TRUE
ENSG00000157765	1641.86	0.538	0.073	7.391	1.45819455672709e-13	5.87506586905346e-10	1915.22	1958.54	1961.39	1192.8	1458.52	1364.69	SLC34A2	solute	carrier	TRUE
ENSG00000185275	5838.047	0.422	0.059	7.207	5.72879778887058e-13	1.73109947185197e-09	6208.15	6688.57	7162.33	4834.44	4932.24	5202.55	CD24P4	CD24	molecule	TRUE
ENSG00000069431	4018.043	0.413	0.064	6.418	1.38404041620825e-10	3.34577930214183e-07	4136.01	4643.74	4990.37	3481.36	3436.28	3420.5	ABCC9	ATP	binding	TRUE
ENSG00000117289	13000.187	0.299	0.047	6.326	2.51152621987158e-10	5.0594695699313e-07	14182.85	14262.75	14584.9	11066.65	12112.49	11791.49	NA	NA	NA	TRUE
ENSG00000148834	4079.907	-0.317	0.051	-6.264	3.75230908061768e-10	5.66926998217824e-07	3723.9	3579.88	3595.42	4408.13	4675.16	4496.96	GSTO1	glutathione	S-transferase	TRUE
ENSG00000213064	3486.581	-0.371	0.059	-6.268	3.66067570570733e-10	5.66926998217824e-07	3228.37	2812.36	3076.8	3872.78	3882.64	4046.54	SFT2D2	SFT2	domain	TRUE
ENSG00000153707	2417.986	0.457	0.074	6.146	7.95668520511238e-10	1.06858282304659e-06	2463.6	2847.55	3082.31	2107.57	1969.66	2037.22	PTPRD	protein	tyrosine	TRUE
ENSG00000145824	106.991	1.225	0.201	6.081	1.19161845130711e-09	1.40107070283374e-06	151.96	153.28	144.37	63.24	51.62	77.48	CXCL14	C-X-C	motif	TRUE
ENSG00000164032	9252.59	-0.262	0.043	-6.071	1.27507054944744e-09	1.40107070283374e-06	8441.33	8342.83	8457.05	10062.48	9909.02	10302.83	H2AFZ	H2A	histone	TRUE
ENSG00000102908	4543.491	0.369	0.061	6.055	1.40079553076956e-09	1.41095129836764e-06	4731.47	5133.09	5501.64	4046.14	3782.43	4066.17	NFAT5	nuclear	factor	TRUE
ENSG00000125868	6924.995	-0.262	0.044	-5.986	2.148493999027e-09	1.99760361278764e-06	6357.63	6287.78	6249.23	7498.07	7547.66	7609.61	DSTN	destrin,	actin	TRUE
ENSG00000144381	31153.405	-0.236	0.04	-5.966	2.42818678578526e-09	2.09639240569903e-06	28672.1	28488.03	28676	33535.77	33193.71	34354.82	HSPD1	heat	shock	TRUE
ENSG00000118596	268.068	1.011	0.17	5.938	2.88867556917025e-09	2.32769477363739e-06	248.59	415.55	411.96	169	165.99	197.32	SLC16A7	solute	carrier	TRUE
ENSG00000077809	4968.312	0.433	0.073	5.927	3.0918072086453e-09	2.33566710818099e-06	5307.94	5712.14	6107.62	3969.82	3927.17	4785.19	NA	NA	NA	TRUE
ENSG00000074660	278.719	-0.737	0.125	-5.905	3.52239909117527e-09	2.50442575382561e-06	210.6	225.94	191.27	371.8	341.1	331.62	SCARF1	scavenger	receptor	TRUE
ENSG00000101187	435.981	-0.738	0.125	-5.889	3.88694529064264e-09	2.61008376266653e-06	336.96	354.24	289.66	646.55	458.51	529.97	SLCO4A1	solute	carrier	TRUE
ENSG00000198959	4099.608	-0.413	0.07	-5.877	4.16886840882934e-09	2.6520585503958e-06	3292.79	3927.31	3335.19	5044.87	4476.77	4520.72	TGM2	transglutaminase	2	TRUE
ENSG00000115221	3973.166	0.323	0.056	5.817	5.99230348923696e-09	3.62144861372036e-06	4311.1	4325.83	4612.44	3336.35	3645.79	3607.49	ITGB6	integrin	subunit	TRUE
ENSG00000124467	2083.246	-0.415	0.072	-5.776	7.66538460255106e-09	4.41197636623974e-06	1784.73	1935.84	1638.63	2405.23	2526.35	2208.71	PSG8	pregnancy	specific	TRUE
ENSG00000169435	1162.05	0.558	0.098	5.706	1.15505135313298e-08	6.34595713878107e-06	1190.92	1445.35	1517.25	817.73	950.42	1050.63	RASSF6	Ras	association	TRUE
ENSG00000176994	664.171	0.658	0.116	5.685	1.30600739091617e-08	6.86335275391466e-06	656.58	835.65	948.05	508.08	475.71	560.96	SMCR8	SMCR8-C9orf72	complex	TRUE
ENSG00000068650	2274.407	0.409	0.073	5.634	1.76087505636371e-08	8.86820700261175e-06	2302.56	2746.5	2738.4	1959.29	1857.31	2042.38	ATP11A	ATPase	phospholipid	TRUE
ENSG00000090273	3911.337	-0.313	0.056	-5.581	2.38845355014574e-08	1.15476952242446e-05	3570.28	3546.95	3348.98	4310	4571.92	4119.89	NUDC	nuclear	distribution	TRUE
ENSG00000101182	5085.594	-0.296	0.053	-5.567	2.58841184719579e-08	1.15874570359465e-05	4755.42	4549.5	4391.75	5853.88	5396.83	5566.19	PSMA7	proteasome	subunit	TRUE
ENSG00000166326	3131.018	0.436	0.078	5.569	2.5580177083918e-08	1.15874570359465e-05	3073.93	3894.38	3835.42	2775.93	2511.16	2695.29	TRIM44	tripartite	motif	TRUE
ENSG00000260482	326.452	0.69	0.125	5.53	3.20273892136091e-08	1.38255376223176e-05	345.22	412.15	452.42	252.95	244.94	251.04	AC008870.1	NA	NA	TRUE
ENSG00000138166	1058.824	-0.425	0.077	-5.511	3.57551926545712e-08	1.49025177108897e-05	942.33	951.46	819.31	1218.97	1181.19	1239.69	DUSP5	dual	specificity	TRUE
ENSG00000123066	3341.11	0.35	0.064	5.484	4.15427884670496e-08	1.67375894733743e-05	3395.2	3904.6	3935.65	2846.8	2926.15	3038.27	MED13L	mediator	complex	TRUE
ENSG00000066468	402.436	0.768	0.141	5.445	5.19099346216815e-08	1.97236634462642e-05	539.3	449.61	532.42	216.97	316.81	359.51	FGFR2	fibroblast	growth	TRUE
ENSG00000180730	2860.838	-0.34	0.062	-5.444	5.22178563978202e-08	1.97236634462642e-05	2697.33	2346.85	2527.83	3345.07	3152.87	3095.08	SHISA2	shisa	family	TRUE
ENSG00000144802	5262.385	0.252	0.047	5.396	6.82322403045583e-08	2.42565614282705e-05	5745.65	5755.28	5659.8	4789.73	4912	4711.84	NFKBIZ	NFKB	inhibitor	TRUE
ENSG00000188906	1056.978	0.458	0.085	5.4	6.64991157041048e-08	2.42565614282705e-05	1113.29	1218.27	1339.78	848.26	853.25	969.02	LRRK2	leucine	rich	TRUE
ENSG00000125977	6306.6	-0.249	0.046	-5.369	7.90961698642902e-08	2.73152972899907e-05	5860.45	5740.52	5688.3	6899.49	6657.97	6992.87	EIF2S2	eukaryotic	translation	TRUE
ENSG00000169432	2115.716	0.411	0.077	5.336	9.50930454926097e-08	3.1064584888356e-05	2217.49	2472.88	2557.25	1608.21	1870.47	1968	SCN9A	sodium	voltage-gated	TRUE
