gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ACHN_DNMT3Awt_1	ACHN_DNMT3Awt_2	ACHN_DNMT3Awt_3	ACHN_Shscramble_1	ACHN_Shscramble_2	ACHN_Shscramble_3	symbol	description	term	threshold
ENSG00000119772	3073.543	2.173	0.07	31.242	2.86892526119128e-214	5.06221862337201e-210	4465.56	5147.93	5479.81	1138.53	1121.05	1088.38	DNMT3A	DNA	methyltransferase	TRUE
ENSG00000205403	1798.905	-2.408	0.08	-30.195	2.79415708991086e-200	2.46514509257386e-196	488.37	616.5	605.33	2855.79	3267.73	2959.71	CFI	complement	factor	TRUE
ENSG00000088325	3776.653	1.566	0.052	29.961	3.1890745291249e-197	1.87570733554696e-193	5768.91	5397.94	5771.87	1983.48	1864.4	1873.32	TPX2	TPX2	microtubule	TRUE
ENSG00000148773	4332.157	1.52	0.055	27.515	1.17200907056927e-166	5.17002501254871e-163	6244.05	6300.44	6727.1	2397.01	2137.63	2186.7	MKI67	marker	of	TRUE
ENSG00000157765	2822.111	-1.812	0.067	-27.246	1.83410488845555e-163	6.47255615135965e-160	1113.08	1364.64	1273.32	4291.05	4601.74	4288.84	SLC34A2	solute	carrier	TRUE
ENSG00000185275	7624.171	-1.184	0.044	-26.857	7.02902705453093e-159	2.06711970628664e-155	4511.35	4614.77	4854.23	10536.11	10674.11	10554.46	CD24P4	CD24	molecule	TRUE
ENSG00000166165	1537.899	-1.92	0.074	-25.934	2.77727881836368e-148	7.00072639286102e-145	667.44	677.11	584.13	2252.85	2474.15	2571.71	CKB	creatine	kinase	TRUE
ENSG00000134057	2336.59	1.506	0.058	25.898	7.03053557113207e-148	1.55067250190782e-144	3340.27	3458.47	3570.31	1262.69	1151.19	1236.61	CCNB1	cyclin	B1	TRUE
ENSG00000166851	2064.988	1.552	0.06	25.795	1.01525582413445e-146	1.99046544631694e-143	3020.79	3029.48	3187.64	1106.96	995.49	1049.58	PLK1	polo	like	TRUE
ENSG00000089685	2001.108	1.518	0.059	25.736	4.58554907546999e-146	8.09120134366679e-143	2972.97	2936.67	2988.11	1099.59	1001.51	1007.79	BIRC5	baculoviral	IAP	TRUE
ENSG00000111206	3158.784	1.259	0.049	25.636	6.0180047469517e-145	9.65342670545117e-142	4376.03	4493.55	4496.62	1864.57	1877.46	1844.47	FOXM1	forkhead	box	TRUE
ENSG00000124467	1395.777	1.967	0.077	25.419	1.57308882002489e-142	2.3130960191116e-139	2244.48	2363.73	2060.83	553.48	526.37	625.77	PSG8	pregnancy	specific	TRUE
ENSG00000131747	8122.874	1.315	0.052	25.119	3.05898565906772e-139	4.15198476571154e-136	11541.88	11079.98	12138.47	4959.22	4576.63	4441.05	TOP2A	DNA	topoisomerase	TRUE
ENSG00000113657	959.383	2.091	0.084	24.874	1.44005692188822e-136	1.81498602762268e-133	1511.92	1453.66	1696.48	370.39	371.68	352.18	DPYSL3	dihydropyrimidinase	like	TRUE
ENSG00000087586	1320.508	1.656	0.067	24.784	1.32020104423324e-135	1.55299649503304e-132	2049.13	1965.04	2000.11	667.12	626.83	614.82	AURKA	aurora	kinase	TRUE
ENSG00000182481	6338.812	1.082	0.044	24.6	1.25113517057398e-133	1.37976750529862e-130	8487.52	8538.22	8806.25	4116.37	3957.84	4126.68	KPNA2	karyopherin	subunit	TRUE
ENSG00000117724	6228.913	1.33	0.055	24	2.78174216636386e-127	2.88728473679355e-124	8842.61	8482.34	9414.47	3748.09	3571.09	3314.87	CENPF	centromere	protein	TRUE
ENSG00000182326	532.987	-2.47	0.103	-23.887	4.17733014372158e-126	4.09494391033151e-123	143.46	175.2	169.65	907.03	920.15	882.44	C1S	complement	C1s	TRUE
ENSG00000164032	7070.821	0.999	0.042	23.825	1.82770555980024e-125	1.69736129487765e-122	9389.99	9271.2	9613.04	4736.15	4672.06	4742.49	H2AFZ	H2A	histone	TRUE
ENSG00000167900	2368.71	1.281	0.055	23.229	2.29530290722115e-119	2.02503098989586e-116	3220.21	3412.07	3435.36	1398.43	1383.23	1362.96	TK1	thymidine	kinase	TRUE
